COVIDSeq_Seq_ID,External_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I99411,AWMT463,230227,ASUT12,0,0.99738527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261473
I99406,AWMT458,230227,ASUT07,0,0.99822528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177472
I99402,AWMT454,230227,ASUT06,0,0.9984228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015772
I99415,AWMT467,230227,ASUT17,0,0.39975208,0,0.59962812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006198
I99692,AWMP46,230313,ASUP05,0,0.99999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-08
I99685,AWMP39,230306,ASUP05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I99681,AWMP34,230227,ASUP07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108342,0,0.99891658,0
I99696,AWMT469,230306,ASUT05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178571,0,0.99821428,1.00E-08
I99675,AWMDT6,230308,ASUDT02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I99672,AWMDT3,230222,ASUDT01,0,0,0,0.99938634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061366
I99676,AWMP30,230227,ASUP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I99686,AWMP40,230306,ASUP06,0,0.40311019,0,0.56084896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505306,0,0.00098779
I99691,AWMP45,230313,ASUP04,0,0,0,0.99944377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055623
I99695,AWMT468,230306,ASUT01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I99682,AWMP35,230306,ASUP01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I99688,AWMP42,230313,ASUP01,0.0235901,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014099
I99678,AWMP37,230306,ASUP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
I99698,AWMT471,230306,ASUT02,0,0.99949908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050092
I99689,AWMP43,230313,ASUP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06274009,0,0.93726012,-2.10E-07
I99679,AWMP32,230227,ASUP05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23656287,0,0.76343713,-2.22E-16
I99677,AWMP31,230227,ASUP04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534276,0.0010476,0.9449352,0.0005896
I99673,AWMDT4,230301,ASUDT01,0,0.99894706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105294
I99683,AWMP36,230306,ASUP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514935,0.00102987,0.9474804,-3.77E-06
I99694,AWMP48,230313,ASUP07,0,0.99917128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082872
I99690,AWMP44,230313,ASUP03,0,0.26690504,0,0.73186357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123139
I99687,AWMP41,230306,ASUP07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553797,0,0,0,0,0,0.333333,0.66112903
I99697,AWMT470,230306,ASUT06,0,0.88859136,0,0.11107392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033472
I99680,AWMP33,230227,ASUP06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138889,0,0.99861111,0
I99684,AWMP38,230306,ASUP04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04978804,0,0.95021004,1.92E-06
I99693,AWMP47,230313,ASUP06,0,0,0,0.999506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494
I99674,AWMDT5,230308,ASUDT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I99742,AWMW17,230308,ASUW05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792719,0,0.98599695,0.00607586
I99718,AWMT487,230313,ASUT04,0,0.99995463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54E-05
I99721,AWMT490,230313,ASUT08,0,0,0,0,0.12500028,0,0,0.02777784,0,0,0,0.07459288,0,0,0,0,0,0,0.69397772,0.075037,0.00361428
I99736,AWMW11,230301,ASUW02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I99732,AWMW7,230222,ASUW01,0,0.99930359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069641
I99725,AWMT494,230313,ASUT12,0,0.99779628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220372
I99735,AWMW10,230301,ASUW01,0,0.41379312,0,0.56896554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724138,0,-4.00E-08
I99722,AWMT491,230313,ASUT09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I99708,AWMT477,230306,ASUT11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I99726,AWMT495,230313,ASUT15,0,0.94756421,0,0.05238957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-05
